material,thermal_conductivity,density,specific_heat,wall_thickness,roof_thickness,length,width,height,orientation,insulation_thickness,window_to_wall_ratio,outdoor_temperature,humidity,solar_radiation,wind_speed,pressure,interior_temperature
eps_insulated_concrete,0.038,1250.0,1100.0,0.274,0.111,9.5,6.17,2.54,16.1,0.142,0.06,-1.0,18.7,900.1,23.3,911.0,24.94
timber_frame,0.13,500.0,1600.0,0.187,0.131,8.04,9.71,2.89,145.8,0.037,0.27,5.2,12.3,714.1,5.7,848.7,10.69
eps_insulated_concrete,0.038,1250.0,1100.0,0.102,0.149,5.51,7.93,4.07,207.8,0.16,0.24,0.6,25.8,214.0,17.1,805.6,25.18
polyurethane_sandwich,0.022,40.0,1400.0,0.257,0.204,6.53,3.8,3.14,164.8,0.035,0.29,31.0,83.5,690.2,17.1,731.5,25.78
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.253,0.139,9.24,6.58,3.28,49.6,0.077,0.12,19.5,65.5,745.3,25.0,833.1,22.3
eps_insulated_concrete,0.038,1250.0,1100.0,0.244,0.14,10.58,7.34,4.22,342.7,0.097,0.12,1.9,54.9,753.1,10.8,806.5,27.55
polyurethane_sandwich,0.022,40.0,1400.0,0.52,0.236,3.74,3.22,4.0,105.2,0.055,0.24,-13.2,46.6,842.5,19.4,830.9,13.62
stabilized_earth_block,0.85,1800.0,880.0,0.386,0.166,7.89,9.94,3.54,272.4,0.152,0.2,-9.7,44.0,836.0,16.7,704.0,15.53
stabilized_earth_block,0.85,1800.0,880.0,0.325,0.192,10.35,6.07,4.49,279.2,0.047,0.33,16.2,38.1,810.8,16.2,669.7,19.39
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.492,0.34,10.25,6.99,3.52,214.9,0.034,0.39,-4.5,55.8,1052.4,13.3,978.1,27.77
stabilized_earth_block,0.85,1800.0,880.0,0.168,0.32,6.7,3.42,2.98,236.1,0.14,0.1,-14.8,35.8,347.6,21.2,764.9,7.59
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.389,0.166,6.73,6.16,3.73,316.8,0.019,0.23,-5.5,84.9,469.1,23.8,737.5,14.62
stabilized_earth_block,0.85,1800.0,880.0,0.534,0.351,3.84,9.81,3.73,251.0,0.17,0.33,2.8,87.5,924.8,12.9,735.6,30.06
burnt_clay_brick,0.77,1900.0,840.0,0.269,0.265,8.1,6.4,3.12,245.7,0.01,0.08,29.9,46.8,224.2,21.6,785.3,25.6
stabilized_earth_block,0.85,1800.0,880.0,0.596,0.217,11.96,9.37,4.25,108.7,0.175,0.36,-18.5,38.8,182.4,16.9,872.5,6.08
stabilized_earth_block,0.85,1800.0,880.0,0.298,0.178,9.29,4.64,3.78,253.3,0.0,0.22,-15.7,28.1,780.0,1.2,892.2,-4.18
stabilized_earth_block,0.85,1800.0,880.0,0.594,0.215,4.19,3.5,3.2,263.1,0.02,0.16,36.7,21.0,873.5,19.1,655.9,30.57
polyurethane_sandwich,0.022,40.0,1400.0,0.171,0.25,3.08,7.55,3.32,260.1,0.126,0.1,3.8,64.9,960.0,3.1,642.2,28.28
stabilized_earth_block,0.85,1800.0,880.0,0.395,0.203,11.67,5.2,2.69,99.7,0.017,0.24,17.0,58.6,879.0,17.6,956.1,19.81
polyurethane_sandwich,0.022,40.0,1400.0,0.538,0.146,8.46,4.32,3.22,232.6,0.157,0.33,-8.2,40.9,341.1,16.3,629.8,19.14
stabilized_earth_block,0.85,1800.0,880.0,0.593,0.379,4.19,9.03,3.59,131.5,0.137,0.32,41.8,71.6,116.7,2.6,710.1,30.64
stabilized_earth_block,0.85,1800.0,880.0,0.561,0.384,6.58,5.01,3.9,276.2,0.085,0.19,19.8,53.0,252.7,3.0,633.2,21.58
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.587,0.13,5.94,7.11,4.0,233.9,0.129,0.16,5.6,86.3,338.6,6.9,988.3,8.75
stabilized_earth_block,0.85,1800.0,880.0,0.327,0.275,5.78,8.19,3.96,43.0,0.142,0.3,-13.5,86.2,623.0,19.8,902.7,9.73
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.286,0.32,10.86,8.13,2.65,324.0,0.067,0.2,11.7,31.0,1075.1,16.1,808.4,14.53
timber_frame,0.13,500.0,1600.0,0.28,0.24,8.1,5.57,2.94,37.0,0.115,0.3,-9.0,50.7,144.0,21.7,702.7,12.7
eps_insulated_concrete,0.038,1250.0,1100.0,0.282,0.374,4.61,9.72,2.47,289.1,0.143,0.28,-9.3,29.9,1015.9,8.7,946.9,17.33
timber_frame,0.13,500.0,1600.0,0.286,0.241,11.12,4.26,4.09,353.3,0.191,0.07,7.6,32.6,944.8,8.9,832.3,10.12
stabilized_earth_block,0.85,1800.0,880.0,0.284,0.173,10.06,8.18,2.91,132.6,0.194,0.4,29.3,68.6,646.6,20.1,663.2,20.45
eps_insulated_concrete,0.038,1250.0,1100.0,0.112,0.253,8.72,7.85,2.42,120.6,0.152,0.18,26.7,34.6,305.2,24.6,776.3,29.77
stabilized_earth_block,0.85,1800.0,880.0,0.586,0.126,5.52,3.31,2.89,304.4,0.083,0.36,7.1,69.8,680.8,13.1,867.6,10.34
eps_insulated_concrete,0.038,1250.0,1100.0,0.137,0.262,6.91,9.75,2.9,94.0,0.063,0.33,24.1,68.8,418.1,7.5,631.4,27.01
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.168,0.326,3.98,3.74,3.34,113.1,0.024,0.18,28.9,46.2,563.3,21.5,638.0,22.1
polyurethane_sandwich,0.022,40.0,1400.0,0.252,0.306,8.43,4.51,4.2,53.4,0.142,0.39,2.7,13.9,398.8,20.7,673.0,26.73
eps_insulated_concrete,0.038,1250.0,1100.0,0.527,0.258,7.95,3.66,2.61,285.8,0.024,0.07,29.7,27.8,298.1,10.6,888.2,18.8
polyurethane_sandwich,0.022,40.0,1400.0,0.142,0.268,11.26,3.52,4.49,71.2,0.129,0.33,-18.6,77.8,908.9,3.9,995.8,6.56
stabilized_earth_block,0.85,1800.0,880.0,0.184,0.264,10.4,5.76,2.46,246.0,0.035,0.13,-11.9,32.4,983.4,1.8,860.1,7.51
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.424,0.24,10.95,6.35,2.58,137.9,0.084,0.27,30.8,29.9,1094.1,14.0,608.2,28.39
eps_insulated_concrete,0.038,1250.0,1100.0,0.491,0.195,7.9,6.39,4.32,180.9,0.078,0.11,-2.7,27.5,995.8,19.7,624.6,35.34
eps_insulated_concrete,0.038,1250.0,1100.0,0.365,0.325,12.0,9.82,2.61,236.5,0.053,0.34,39.2,14.5,1096.4,6.3,955.5,33.5
eps_insulated_concrete,0.038,1250.0,1100.0,0.277,0.349,10.61,4.23,3.64,290.2,0.14,0.37,-23.0,66.0,1047.6,14.5,836.5,4.13
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.518,0.339,11.73,6.79,2.77,13.7,0.011,0.26,-23.6,48.2,431.7,15.7,938.7,-2.46
burnt_clay_brick,0.77,1900.0,840.0,0.458,0.374,10.6,5.27,2.45,211.2,0.183,0.32,34.3,78.9,1060.6,10.0,995.6,29.57
eps_insulated_concrete,0.038,1250.0,1100.0,0.393,0.188,5.9,9.83,3.94,157.3,0.128,0.22,-2.8,66.6,662.0,22.4,857.8,30.3
burnt_clay_brick,0.77,1900.0,840.0,0.212,0.268,4.58,5.15,3.85,45.8,0.146,0.38,41.4,41.3,1094.3,24.2,613.6,31.14
timber_frame,0.13,500.0,1600.0,0.259,0.339,8.5,7.48,2.62,178.6,0.066,0.08,-0.7,35.6,736.2,24.1,945.1,28.25
polyurethane_sandwich,0.022,40.0,1400.0,0.42,0.364,7.02,4.86,2.92,24.4,0.051,0.09,-24.9,40.9,832.6,24.3,971.5,0.69
eps_insulated_concrete,0.038,1250.0,1100.0,0.541,0.192,6.38,8.8,4.06,208.1,0.152,0.13,6.6,73.9,133.4,1.5,709.7,9.26
stabilized_earth_block,0.85,1800.0,880.0,0.137,0.134,6.38,8.12,3.55,323.3,0.019,0.26,18.0,48.6,131.0,23.6,669.3,21.07
eps_insulated_concrete,0.038,1250.0,1100.0,0.179,0.112,4.85,4.33,3.86,259.9,0.146,0.14,-5.3,29.0,149.6,14.7,952.7,17.14
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.127,0.081,3.79,8.77,3.71,172.9,0.019,0.12,19.7,88.2,573.6,3.8,929.6,24.99
eps_insulated_concrete,0.038,1250.0,1100.0,0.345,0.292,3.82,6.81,2.79,318.8,0.074,0.21,-6.6,47.2,326.2,7.4,625.9,17.65
polyurethane_sandwich,0.022,40.0,1400.0,0.434,0.107,6.09,6.79,4.44,212.3,0.111,0.34,32.3,43.5,635.5,21.8,799.4,23.97
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.338,0.105,11.12,8.0,3.45,324.2,0.16,0.29,18.4,19.6,857.2,5.1,1013.4,21.82
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.504,0.12,6.81,9.92,3.31,359.0,0.125,0.34,-6.9,82.9,1014.2,2.6,763.0,18.08
eps_insulated_concrete,0.038,1250.0,1100.0,0.376,0.354,7.68,9.42,2.43,252.1,0.118,0.32,-17.1,22.0,666.6,15.0,1005.2,9.82
stabilized_earth_block,0.85,1800.0,880.0,0.562,0.26,3.91,5.0,3.52,123.8,0.082,0.18,9.0,58.7,137.5,7.6,660.4,11.13
timber_frame,0.13,500.0,1600.0,0.44,0.209,6.56,9.15,3.85,17.7,0.095,0.14,1.1,37.0,893.7,8.5,954.0,25.68
polyurethane_sandwich,0.022,40.0,1400.0,0.442,0.391,5.05,5.1,3.96,278.7,0.064,0.31,17.3,17.1,541.7,22.9,771.0,19.63
eps_insulated_concrete,0.038,1250.0,1100.0,0.48,0.358,10.39,6.61,2.73,112.0,0.101,0.1,34.6,80.3,128.9,5.6,949.8,22.3
stabilized_earth_block,0.85,1800.0,880.0,0.225,0.226,11.26,7.93,2.98,296.5,0.101,0.27,-16.3,12.4,472.5,15.3,674.6,4.38
eps_insulated_concrete,0.038,1250.0,1100.0,0.393,0.192,4.47,9.26,3.97,248.0,0.057,0.19,-13.6,55.8,1064.9,21.6,871.9,15.75
polyurethane_sandwich,0.022,40.0,1400.0,0.203,0.289,7.62,9.05,4.43,245.6,0.095,0.1,-12.9,74.1,323.8,15.6,996.1,12.42
polyurethane_sandwich,0.022,40.0,1400.0,0.584,0.286,6.81,5.64,3.13,90.7,0.093,0.29,32.7,41.8,202.3,13.3,878.2,20.32
burnt_clay_brick,0.77,1900.0,840.0,0.381,0.27,5.54,7.79,3.41,121.1,0.055,0.16,-5.6,62.5,1052.2,16.6,679.1,18.62
timber_frame,0.13,500.0,1600.0,0.483,0.368,10.25,8.62,3.66,237.8,0.136,0.3,20.9,89.8,359.4,11.0,763.1,24.08
stabilized_earth_block,0.85,1800.0,880.0,0.392,0.398,10.34,5.4,3.9,247.1,0.128,0.22,40.8,38.7,400.2,5.1,876.2,30.28
timber_frame,0.13,500.0,1600.0,0.191,0.111,4.15,4.81,4.1,274.7,0.037,0.29,-1.5,17.1,455.3,18.9,729.0,17.77
burnt_clay_brick,0.77,1900.0,840.0,0.286,0.267,7.17,3.82,2.51,228.4,0.116,0.27,8.1,25.6,219.8,17.3,822.5,10.61
eps_insulated_concrete,0.038,1250.0,1100.0,0.127,0.353,4.24,4.4,3.26,205.0,0.181,0.21,-2.9,67.3,878.9,12.7,865.0,30.09
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.257,0.099,7.07,4.47,4.02,207.5,0.032,0.32,29.6,20.4,533.7,11.3,780.2,25.0
eps_insulated_concrete,0.038,1250.0,1100.0,0.292,0.092,4.79,5.61,2.43,116.0,0.167,0.12,22.4,60.1,348.8,17.6,744.6,25.56
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.151,0.241,5.76,3.46,2.5,341.4,0.091,0.23,11.7,44.7,786.8,4.2,1018.4,14.1
eps_insulated_concrete,0.038,1250.0,1100.0,0.28,0.14,11.53,9.43,3.25,82.2,0.145,0.1,26.4,57.2,269.0,9.8,873.2,28.55
stabilized_earth_block,0.85,1800.0,880.0,0.288,0.285,9.94,7.36,3.65,17.3,0.022,0.34,-21.6,19.3,544.3,4.0,706.2,-6.95
polyurethane_sandwich,0.022,40.0,1400.0,0.177,0.302,8.67,5.11,3.79,238.5,0.054,0.26,-15.4,76.5,204.9,18.3,649.4,8.07
stabilized_earth_block,0.85,1800.0,880.0,0.492,0.239,8.48,8.45,4.15,350.3,0.072,0.19,-13.8,53.9,1010.4,17.5,801.9,9.34
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.101,0.295,11.16,8.85,3.8,53.7,0.018,0.23,25.6,18.1,355.9,6.5,1015.2,28.16
burnt_clay_brick,0.77,1900.0,840.0,0.232,0.096,10.32,9.12,4.19,129.7,0.135,0.2,-16.9,78.1,990.3,1.2,658.1,11.59
polyurethane_sandwich,0.022,40.0,1400.0,0.185,0.194,6.94,7.35,4.24,33.5,0.163,0.11,3.1,87.0,371.8,10.3,957.3,27.36
eps_insulated_concrete,0.038,1250.0,1100.0,0.424,0.335,4.02,7.87,2.52,339.3,0.032,0.2,16.4,74.2,778.4,5.4,759.5,20.11
burnt_clay_brick,0.77,1900.0,840.0,0.406,0.356,10.92,8.09,4.27,173.9,0.098,0.36,5.8,15.1,755.0,1.3,964.7,12.64
timber_frame,0.13,500.0,1600.0,0.484,0.265,8.09,9.85,3.81,121.8,0.105,0.3,-18.3,62.9,348.6,9.3,884.0,6.06
eps_insulated_concrete,0.038,1250.0,1100.0,0.174,0.344,11.03,7.29,2.42,336.4,0.101,0.21,9.7,23.2,851.4,8.7,739.0,12.45
burnt_clay_brick,0.77,1900.0,840.0,0.125,0.151,8.79,5.82,2.89,165.3,0.16,0.21,35.0,45.8,218.7,12.9,874.4,25.02
stabilized_earth_block,0.85,1800.0,880.0,0.302,0.091,7.94,8.78,4.06,346.7,0.128,0.36,14.4,62.4,556.2,9.2,946.6,16.77
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.522,0.186,9.91,7.2,3.9,130.8,0.091,0.08,21.1,10.2,455.1,16.2,936.0,24.82
timber_frame,0.13,500.0,1600.0,0.361,0.305,3.41,4.15,2.69,258.1,0.144,0.09,17.8,25.0,1030.2,10.4,792.0,21.22
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.458,0.114,6.73,9.49,4.16,212.0,0.154,0.21,21.1,86.5,234.6,13.0,822.8,23.83
stabilized_earth_block,0.85,1800.0,880.0,0.377,0.218,8.27,9.47,4.04,327.7,0.138,0.11,32.1,18.3,757.5,15.5,735.2,21.46
eps_insulated_concrete,0.038,1250.0,1100.0,0.309,0.275,9.23,4.74,3.24,123.4,0.059,0.33,-15.3,58.2,986.4,13.3,954.1,14.58
timber_frame,0.13,500.0,1600.0,0.53,0.308,11.42,7.43,2.82,224.7,0.058,0.17,22.1,88.5,750.1,24.0,811.6,26.58
polyurethane_sandwich,0.022,40.0,1400.0,0.418,0.307,9.85,6.94,3.62,339.4,0.142,0.29,37.6,52.7,977.5,11.1,605.4,25.66
stabilized_earth_block,0.85,1800.0,880.0,0.113,0.127,9.03,4.4,3.98,57.9,0.057,0.14,33.8,65.2,395.1,19.1,613.6,25.27
eps_insulated_concrete,0.038,1250.0,1100.0,0.151,0.358,9.66,9.05,3.96,202.1,0.048,0.32,30.9,33.0,764.5,23.2,762.8,27.26
polyurethane_sandwich,0.022,40.0,1400.0,0.256,0.257,3.12,4.76,3.7,281.1,0.174,0.34,38.8,66.4,747.6,19.1,829.6,25.69
timber_frame,0.13,500.0,1600.0,0.198,0.312,4.74,6.14,4.47,26.8,0.192,0.31,-16.6,13.3,379.1,7.3,667.6,6.15
burnt_clay_brick,0.77,1900.0,840.0,0.103,0.229,11.44,3.28,4.35,214.9,0.155,0.27,34.0,34.1,889.9,14.2,630.6,28.46
polyurethane_sandwich,0.022,40.0,1400.0,0.259,0.15,4.65,3.48,3.46,149.7,0.107,0.08,-9.5,27.1,431.9,9.7,691.7,18.92
timber_frame,0.13,500.0,1600.0,0.365,0.399,10.41,9.87,2.42,240.8,0.089,0.37,18.0,59.7,1058.9,17.4,734.8,22.49
stabilized_earth_block,0.85,1800.0,880.0,0.293,0.253,5.55,9.38,4.13,135.0,0.161,0.21,-21.9,81.9,292.5,13.3,998.2,2.92
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.586,0.327,7.8,7.39,2.84,226.6,0.043,0.29,33.5,26.4,928.7,22.1,911.4,28.7
eps_insulated_concrete,0.038,1250.0,1100.0,0.423,0.381,9.72,4.08,3.36,119.4,0.018,0.07,30.6,54.6,675.0,6.5,708.6,21.62
eps_insulated_concrete,0.038,1250.0,1100.0,0.326,0.209,5.85,5.73,2.65,2.1,0.144,0.07,27.2,13.6,948.3,9.6,811.2,30.37
burnt_clay_brick,0.77,1900.0,840.0,0.493,0.176,3.78,8.36,3.32,142.2,0.132,0.22,12.3,20.9,491.0,20.1,829.2,16.53
polyurethane_sandwich,0.022,40.0,1400.0,0.172,0.297,11.23,8.57,3.93,134.3,0.19,0.24,13.9,19.9,105.0,15.3,825.6,16.07
stabilized_earth_block,0.85,1800.0,880.0,0.252,0.319,11.13,5.41,3.27,232.5,0.103,0.11,-9.5,76.8,294.3,5.4,935.9,12.43
stabilized_earth_block,0.85,1800.0,880.0,0.526,0.378,11.95,6.23,3.55,104.6,0.013,0.08,25.8,49.0,430.9,4.1,875.3,28.21
stabilized_earth_block,0.85,1800.0,880.0,0.243,0.102,4.74,6.4,3.09,237.4,0.139,0.1,14.7,74.6,1058.7,5.0,731.6,19.74
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.456,0.285,5.49,5.52,3.83,119.4,0.096,0.21,29.2,49.0,208.8,16.5,634.4,18.72
burnt_clay_brick,0.77,1900.0,840.0,0.529,0.125,7.85,4.84,4.26,27.5,0.015,0.06,10.5,12.5,681.9,10.7,847.8,13.84
stabilized_earth_block,0.85,1800.0,880.0,0.376,0.254,11.99,6.3,4.03,131.7,0.045,0.32,26.3,33.3,564.7,13.2,766.6,29.98
timber_frame,0.13,500.0,1600.0,0.105,0.156,11.68,9.87,3.84,272.6,0.028,0.11,14.6,55.3,972.2,4.5,907.4,18.48
burnt_clay_brick,0.77,1900.0,840.0,0.12,0.324,5.09,4.85,2.89,240.7,0.104,0.33,2.2,83.4,981.6,2.0,872.4,26.98
stabilized_earth_block,0.85,1800.0,880.0,0.452,0.247,10.47,8.84,2.95,196.0,0.035,0.28,0.6,62.3,935.5,13.4,758.1,29.51
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.358,0.193,10.81,6.41,3.41,217.5,0.1,0.1,-13.4,16.2,743.5,6.1,678.5,15.19
burnt_clay_brick,0.77,1900.0,840.0,0.401,0.341,8.95,5.9,3.09,40.8,0.135,0.22,16.4,61.8,510.9,6.8,653.7,19.08
timber_frame,0.13,500.0,1600.0,0.181,0.281,3.35,7.01,2.52,93.0,0.036,0.39,17.0,55.1,118.6,18.3,877.9,18.89
burnt_clay_brick,0.77,1900.0,840.0,0.574,0.149,8.46,6.3,3.41,79.0,0.082,0.1,15.8,71.4,723.2,13.3,670.4,18.48
polyurethane_sandwich,0.022,40.0,1400.0,0.271,0.225,8.32,4.61,3.21,39.1,0.04,0.35,10.3,43.6,249.6,3.3,799.9,12.4
timber_frame,0.13,500.0,1600.0,0.4,0.361,7.78,8.27,2.6,237.4,0.18,0.24,-24.9,85.0,778.6,11.4,776.7,3.32
stabilized_earth_block,0.85,1800.0,880.0,0.449,0.217,11.45,6.37,4.01,126.2,0.161,0.37,33.6,56.1,525.5,7.1,921.7,24.38
stabilized_earth_block,0.85,1800.0,880.0,0.242,0.361,6.68,4.32,3.89,284.2,0.116,0.09,-24.5,62.4,787.8,8.6,752.2,-2.32
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.313,0.267,5.35,6.75,3.59,220.3,0.198,0.19,-10.7,54.2,657.6,5.3,834.8,17.77
eps_insulated_concrete,0.038,1250.0,1100.0,0.227,0.178,6.1,7.94,3.95,307.8,0.132,0.31,6.3,65.9,261.8,6.1,768.2,8.96
burnt_clay_brick,0.77,1900.0,840.0,0.5,0.276,9.16,3.36,3.22,228.9,0.161,0.34,8.0,58.0,188.1,7.3,755.8,10.85
timber_frame,0.13,500.0,1600.0,0.119,0.203,11.86,7.3,3.49,256.2,0.119,0.38,32.4,61.2,539.0,5.8,875.9,22.37
timber_frame,0.13,500.0,1600.0,0.243,0.091,8.4,6.61,2.89,61.0,0.007,0.13,-25.0,22.6,1096.8,19.7,748.3,-5.19
eps_insulated_concrete,0.038,1250.0,1100.0,0.303,0.144,3.14,7.93,4.33,197.9,0.145,0.25,15.8,37.8,915.5,6.4,1004.5,22.37
eps_insulated_concrete,0.038,1250.0,1100.0,0.565,0.264,5.35,5.85,2.62,26.1,0.059,0.38,31.2,86.5,976.1,20.5,841.5,20.63
polyurethane_sandwich,0.022,40.0,1400.0,0.321,0.201,7.35,4.7,3.11,279.2,0.136,0.36,35.3,48.6,357.8,10.2,931.2,22.85
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.438,0.154,5.84,9.69,3.48,3.5,0.166,0.14,-18.5,63.9,921.1,2.8,991.2,6.43
eps_insulated_concrete,0.038,1250.0,1100.0,0.257,0.15,8.16,4.28,3.97,334.9,0.038,0.31,-8.6,29.4,365.4,6.5,950.7,15.2
timber_frame,0.13,500.0,1600.0,0.278,0.329,4.08,3.55,4.41,177.4,0.001,0.35,42.1,77.8,471.2,8.6,977.2,38.2
timber_frame,0.13,500.0,1600.0,0.534,0.237,11.86,9.41,2.99,80.0,0.115,0.07,30.9,48.3,640.8,13.1,765.4,20.16
polyurethane_sandwich,0.022,40.0,1400.0,0.488,0.226,4.08,6.63,3.06,3.0,0.135,0.18,-17.9,38.9,961.8,5.5,710.4,8.37
burnt_clay_brick,0.77,1900.0,840.0,0.336,0.276,6.29,6.49,2.84,252.3,0.074,0.35,-5.4,24.4,231.1,14.8,696.0,14.69
stabilized_earth_block,0.85,1800.0,880.0,0.46,0.337,8.0,8.99,2.81,288.0,0.148,0.22,-24.3,43.7,234.5,22.4,864.9,-1.49
timber_frame,0.13,500.0,1600.0,0.46,0.331,5.7,6.93,3.59,143.4,0.138,0.07,32.0,48.1,729.9,11.8,740.6,24.09
burnt_clay_brick,0.77,1900.0,840.0,0.28,0.258,10.29,5.41,3.26,126.4,0.136,0.26,15.4,62.0,638.4,24.5,719.5,19.98
burnt_clay_brick,0.77,1900.0,840.0,0.437,0.236,9.63,9.23,3.2,103.1,0.126,0.1,-13.3,74.6,437.4,16.2,840.1,9.91
stabilized_earth_block,0.85,1800.0,880.0,0.14,0.19,5.82,7.57,3.89,217.9,0.079,0.36,29.7,85.1,847.9,13.5,789.1,26.53
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.192,0.087,9.55,7.63,4.37,252.3,0.016,0.11,-17.8,15.1,978.7,14.2,611.1,1.76
eps_insulated_concrete,0.038,1250.0,1100.0,0.362,0.399,3.94,7.33,2.58,335.4,0.078,0.13,26.6,45.5,226.4,13.6,671.7,28.85
stabilized_earth_block,0.85,1800.0,880.0,0.432,0.355,5.93,6.33,4.45,194.6,0.054,0.21,42.9,65.8,277.0,15.3,865.0,36.5
polyurethane_sandwich,0.022,40.0,1400.0,0.539,0.219,8.76,6.74,4.31,173.4,0.045,0.08,-3.4,43.0,255.7,1.3,819.8,23.63
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.272,0.23,3.07,9.45,4.39,171.7,0.002,0.2,-4.5,28.5,107.2,10.0,772.9,12.76
timber_frame,0.13,500.0,1600.0,0.319,0.16,9.43,7.52,4.14,79.4,0.016,0.27,11.2,74.0,713.2,17.7,714.2,13.96
polyurethane_sandwich,0.022,40.0,1400.0,0.471,0.339,6.72,8.97,2.78,104.3,0.127,0.27,-6.0,59.8,287.8,1.5,620.8,18.95
timber_frame,0.13,500.0,1600.0,0.111,0.391,5.54,3.88,3.32,3.0,0.018,0.06,-9.8,43.6,885.7,13.0,756.0,6.78
polyurethane_sandwich,0.022,40.0,1400.0,0.496,0.186,10.59,9.66,2.52,279.2,0.014,0.21,-11.5,77.3,917.3,20.9,651.2,14.45
polyurethane_sandwich,0.022,40.0,1400.0,0.224,0.327,6.99,8.16,2.47,165.9,0.154,0.23,43.7,47.8,781.4,8.5,735.7,37.75
polyurethane_sandwich,0.022,40.0,1400.0,0.464,0.318,7.95,3.85,3.41,107.6,0.072,0.07,21.7,87.9,336.0,11.4,606.3,23.82
burnt_clay_brick,0.77,1900.0,840.0,0.392,0.207,5.19,9.78,3.62,248.7,0.138,0.1,29.0,29.9,599.9,17.5,742.1,18.42
polyurethane_sandwich,0.022,40.0,1400.0,0.13,0.194,4.39,6.75,2.63,175.6,0.063,0.25,20.1,37.8,991.8,18.6,609.0,28.13
eps_insulated_concrete,0.038,1250.0,1100.0,0.279,0.123,11.09,6.4,3.32,106.1,0.139,0.12,-11.9,37.8,832.4,7.6,949.2,15.13
timber_frame,0.13,500.0,1600.0,0.18,0.25,7.04,8.74,3.54,163.5,0.155,0.23,26.4,80.6,719.7,9.7,860.5,32.5
burnt_clay_brick,0.77,1900.0,840.0,0.461,0.291,7.85,5.71,3.5,179.1,0.11,0.26,-2.4,61.3,210.5,13.6,628.0,22.0
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.189,0.09,3.96,4.34,2.47,231.0,0.078,0.22,18.7,57.2,149.1,6.3,901.5,21.22
stabilized_earth_block,0.85,1800.0,880.0,0.565,0.147,7.42,9.23,2.57,288.4,0.012,0.25,40.7,43.3,469.1,18.0,945.9,34.62
burnt_clay_brick,0.77,1900.0,840.0,0.365,0.315,10.51,3.55,2.85,187.0,0.02,0.13,2.0,25.4,756.9,14.7,998.0,25.75
timber_frame,0.13,500.0,1600.0,0.475,0.213,3.95,7.47,3.15,165.1,0.133,0.36,-13.3,24.4,501.6,9.1,666.4,16.02
timber_frame,0.13,500.0,1600.0,0.322,0.193,5.84,9.94,3.08,133.8,0.153,0.2,25.8,58.7,663.1,6.1,921.6,30.71
polyurethane_sandwich,0.022,40.0,1400.0,0.227,0.388,7.03,5.78,3.93,353.9,0.119,0.23,44.5,34.1,400.3,6.3,959.4,32.18
stabilized_earth_block,0.85,1800.0,880.0,0.486,0.382,10.4,9.43,3.47,205.4,0.114,0.08,7.2,22.5,365.0,22.4,704.9,10.58
burnt_clay_brick,0.77,1900.0,840.0,0.506,0.109,6.6,9.43,3.94,260.5,0.159,0.11,32.8,65.2,676.2,22.8,850.0,21.32
burnt_clay_brick,0.77,1900.0,840.0,0.119,0.339,6.43,8.46,4.34,120.4,0.176,0.2,40.1,19.6,870.4,18.9,956.8,31.4
stabilized_earth_block,0.85,1800.0,880.0,0.417,0.282,3.49,6.67,3.07,203.4,0.065,0.29,-14.3,63.9,1097.4,24.3,916.2,18.14
timber_frame,0.13,500.0,1600.0,0.352,0.151,5.61,5.76,2.68,29.7,0.114,0.07,2.9,16.8,601.8,19.6,654.8,25.8
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.34,0.143,6.56,7.0,3.58,358.9,0.105,0.13,-6.4,44.4,784.7,14.8,647.3,16.62
eps_insulated_concrete,0.038,1250.0,1100.0,0.312,0.191,5.89,7.16,2.45,109.7,0.198,0.27,44.3,45.4,245.8,2.1,943.6,30.98
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.443,0.13,9.56,3.6,3.95,87.5,0.124,0.1,33.3,33.0,443.3,20.3,728.1,21.59
eps_insulated_concrete,0.038,1250.0,1100.0,0.111,0.147,7.84,4.43,3.5,93.1,0.097,0.31,-15.1,65.9,118.4,15.0,878.7,6.23
